node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location,event,Date,Mean_Temp,Total_Precip,Rain,Snow
pedestrian,0.0,SWLSANDBOX3,2019-02-20T00:00:00-05:00,2019-02-20,2019,02,20,outside,Event,2019-02-20,-5.9,1.2,1.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-02-21T00:00:00-05:00,2019-02-21,2019,02,21,outside,Not event,2019-02-21,-0.1,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-02-22T00:00:00-05:00,2019-02-22,2019,02,22,outside,Not event,2019-02-22,-1.7,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-02-23T00:00:00-05:00,2019-02-23,2019,02,23,outside,Not event,2019-02-23,-1.6,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-02-24T00:00:00-05:00,2019-02-24,2019,02,24,outside,Not event,2019-02-24,1.9,6.8,6.2,0.6
pedestrian,0.0,SWLSANDBOX3,2019-02-25T00:00:00-05:00,2019-02-25,2019,02,25,outside,Not event,2019-02-25,-5.6,1.0,0.0,1.8
pedestrian,0.0,SWLSANDBOX3,2019-02-26T00:00:00-05:00,2019-02-26,2019,02,26,outside,Not event,2019-02-26,-8.2,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-02-27T00:00:00-05:00,2019-02-27,2019,02,27,outside,Not event,2019-02-27,-10.6,17.6,0.0,18.4
pedestrian,0.0,SWLSANDBOX3,2019-02-28T00:00:00-05:00,2019-02-28,2019,02,28,outside,Not event,2019-02-28,-12.1,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-01T00:00:00-05:00,2019-03-01,2019,03,01,outside,Not event,2019-03-01,-7.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-02T00:00:00-05:00,2019-03-02,2019,03,02,outside,Event,2019-03-02,-3.6,4.4,0.0,4.0
pedestrian,0.0,SWLSANDBOX3,2019-03-03T00:00:00-05:00,2019-03-03,2019,03,03,outside,Not event,2019-03-03,-5.6,0.4,0.0,0.4
pedestrian,0.0,SWLSANDBOX3,2019-03-04T00:00:00-05:00,2019-03-04,2019,03,04,outside,Not event,2019-03-04,-11.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-05T00:00:00-05:00,2019-03-05,2019,03,05,outside,Not event,2019-03-05,-12.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-06T00:00:00-05:00,2019-03-06,2019,03,06,outside,Not event,2019-03-06,-12.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-07T00:00:00-05:00,2019-03-07,2019,03,07,outside,Not event,2019-03-07,-10.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-08T00:00:00-05:00,2019-03-08,2019,03,08,outside,Not event,2019-03-08,-8.1,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-09T00:00:00-05:00,2019-03-09,2019,03,09,outside,Not event,2019-03-09,-5.4,0.8,0.8,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-10T00:00:00-05:00,2019-03-10,2019,03,10,outside,Not event,2019-03-10,3.0,12.2,12.2,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-11T00:00:00-05:00,2019-03-11,2019,03,11,outside,Not event,2019-03-11,0.0,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-12T00:00:00-05:00,2019-03-12,2019,03,12,outside,Not event,2019-03-12,0.1,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-13T00:00:00-05:00,2019-03-13,2019,03,13,outside,Not event,2019-03-13,0.7,0.4,0.4,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-14T00:00:00-05:00,2019-03-14,2019,03,14,outside,Not event,2019-03-14,5.2,9.0,9.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-15T00:00:00-05:00,2019-03-15,2019,03,15,outside,Not event,2019-03-15,4.9,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-16T00:00:00-05:00,2019-03-16,2019,03,16,outside,Not event,2019-03-16,-1.5,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-17T00:00:00-05:00,2019-03-17,2019,03,17,outside,Not event,2019-03-17,-2.2,0.0,0.0,0.0
pedestrian,0.0,SWLSANDBOX3,2019-03-18T00:00:00-05:00,2019-03-18,2019,03,18,outside,Not event,2019-03-18,-0.3,0.0,0.0,0.0
pedestrian,2.0,SWLSANDBOX3,2019-03-19T00:00:00-05:00,2019-03-19,2019,03,19,outside,Not event,2019-03-19,0.9,0.6,0.0,0.6
pedestrian,152.0,SWLSANDBOX3,2019-03-20T00:00:00-05:00,2019-03-20,2019,03,20,outside,Not event,2019-03-20,4.6,0.0,0.0,0.0
pedestrian,286.0,SWLSANDBOX3,2019-03-21T00:00:00-05:00,2019-03-21,2019,03,21,outside,Not event,2019-03-21,5.4,1.2,1.2,0.0
pedestrian,94.0,SWLSANDBOX3,2019-03-22T00:00:00-05:00,2019-03-22,2019,03,22,outside,Not event,2019-03-22,-0.4,0.0,0.0,0.0
pedestrian,24.0,SWLSANDBOX3,2019-03-23T00:00:00-05:00,2019-03-23,2019,03,23,outside,Not event,2019-03-23,-0.9,0.0,0.0,0.0
pedestrian,177.0,SWLSANDBOX3,2019-03-24T00:00:00-05:00,2019-03-24,2019,03,24,outside,Not event,2019-03-24,3.6,0.0,0.0,0.0
pedestrian,149.0,SWLSANDBOX3,2019-03-25T00:00:00-05:00,2019-03-25,2019,03,25,outside,Not event,2019-03-25,-0.6,0.0,0.0,0.0
