node.objClass,pedestrian_count,node.serialno,node.time,date,time,year,month,day,location,Date,Temp,Dew_Point,Humidity
pedestrian,0.0,SWLSANDBOX1,2019-02-20T00:00:00-05:00,2019-02-20,00:00,2019,02,20,streetscape,2019-02-20-00:00,-6.7,-11.1,71.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T01:00:00-05:00,2019-02-20,01:00,2019,02,20,streetscape,2019-02-20-01:00,-6.4,-10.8,71.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T02:00:00-05:00,2019-02-20,02:00,2019,02,20,streetscape,2019-02-20-02:00,-6.3,-11.8,65.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T03:00:00-05:00,2019-02-20,03:00,2019,02,20,streetscape,2019-02-20-03:00,-6.5,-12.2,64.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T04:00:00-05:00,2019-02-20,04:00,2019,02,20,streetscape,2019-02-20-04:00,-6.4,-12.4,62.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T05:00:00-05:00,2019-02-20,05:00,2019,02,20,streetscape,2019-02-20-05:00,-5.3,-10.8,65.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T06:00:00-05:00,2019-02-20,06:00,2019,02,20,streetscape,2019-02-20-06:00,-5.7,-10.7,68.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T07:00:00-05:00,2019-02-20,07:00,2019,02,20,streetscape,2019-02-20-07:00,-5.5,-10.2,70.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T08:00:00-05:00,2019-02-20,08:00,2019,02,20,streetscape,2019-02-20-08:00,-4.4,-8.4,74.0
pedestrian,18.0,SWLSANDBOX1,2019-02-20T09:00:00-05:00,2019-02-20,09:00,2019,02,20,streetscape,2019-02-20-09:00,-2.6,-7.4,70.0
pedestrian,200.0,SWLSANDBOX1,2019-02-20T10:00:00-05:00,2019-02-20,10:00,2019,02,20,streetscape,2019-02-20-10:00,-2.2,-7.8,66.0
pedestrian,291.0,SWLSANDBOX1,2019-02-20T11:00:00-05:00,2019-02-20,11:00,2019,02,20,streetscape,2019-02-20-11:00,-1.5,-8.7,58.0
pedestrian,716.0,SWLSANDBOX1,2019-02-20T12:00:00-05:00,2019-02-20,12:00,2019,02,20,streetscape,2019-02-20-12:00,-0.8,-8.1,57.0
pedestrian,520.0,SWLSANDBOX1,2019-02-20T13:00:00-05:00,2019-02-20,13:00,2019,02,20,streetscape,2019-02-20-13:00,-0.4,-6.7,63.0
pedestrian,318.0,SWLSANDBOX1,2019-02-20T14:00:00-05:00,2019-02-20,14:00,2019,02,20,streetscape,2019-02-20-14:00,-0.4,-7.2,60.0
pedestrian,331.0,SWLSANDBOX1,2019-02-20T15:00:00-05:00,2019-02-20,15:00,2019,02,20,streetscape,2019-02-20-15:00,-0.5,-6.1,66.0
pedestrian,534.0,SWLSANDBOX1,2019-02-20T16:00:00-05:00,2019-02-20,16:00,2019,02,20,streetscape,2019-02-20-16:00,-0.8,-4.1,78.0
pedestrian,308.0,SWLSANDBOX1,2019-02-20T17:00:00-05:00,2019-02-20,17:00,2019,02,20,streetscape,2019-02-20-17:00,-0.9,-3.1,85.0
pedestrian,4.0,SWLSANDBOX1,2019-02-20T18:00:00-05:00,2019-02-20,18:00,2019,02,20,streetscape,2019-02-20-18:00,-0.5,-2.2,88.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T19:00:00-05:00,2019-02-20,19:00,2019,02,20,streetscape,2019-02-20-19:00,0.3,-0.9,92.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T20:00:00-05:00,2019-02-20,20:00,2019,02,20,streetscape,2019-02-20-20:00,0.7,-1.4,86.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T21:00:00-05:00,2019-02-20,21:00,2019,02,20,streetscape,2019-02-20-21:00,0.4,-1.1,90.0
pedestrian,0.0,SWLSANDBOX1,2019-02-20T22:00:00-05:00,2019-02-20,22:00,2019,02,20,streetscape,2019-02-20-22:00,0.2,-1.0,92.0
pedestrian,32.0,SWLSANDBOX1,2019-02-20T23:00:00-05:00,2019-02-20,23:00,2019,02,20,streetscape,2019-02-20-23:00,0.2,-0.8,93.0
pedestrian,5.0,SWLSANDBOX1,2019-02-21T00:00:00-05:00,2019-02-21,00:00,2019,02,21,streetscape,2019-02-21-00:00,0.5,-0.4,94.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T01:00:00-05:00,2019-02-21,01:00,2019,02,21,streetscape,2019-02-21-01:00,0.9,0.0,94.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T02:00:00-05:00,2019-02-21,02:00,2019,02,21,streetscape,2019-02-21-02:00,1.1,0.3,94.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T03:00:00-05:00,2019-02-21,03:00,2019,02,21,streetscape,2019-02-21-03:00,1.5,0.7,94.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T04:00:00-05:00,2019-02-21,04:00,2019,02,21,streetscape,2019-02-21-04:00,2.3,1.1,92.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T05:00:00-05:00,2019-02-21,05:00,2019,02,21,streetscape,2019-02-21-05:00,3.1,0.2,81.0
pedestrian,4.0,SWLSANDBOX1,2019-02-21T06:00:00-05:00,2019-02-21,06:00,2019,02,21,streetscape,2019-02-21-06:00,3.2,-1.2,73.0
pedestrian,8.0,SWLSANDBOX1,2019-02-21T07:00:00-05:00,2019-02-21,07:00,2019,02,21,streetscape,2019-02-21-07:00,3.0,-2.1,69.0
pedestrian,4.0,SWLSANDBOX1,2019-02-21T08:00:00-05:00,2019-02-21,08:00,2019,02,21,streetscape,2019-02-21-08:00,3.4,-3.3,62.0
pedestrian,29.0,SWLSANDBOX1,2019-02-21T09:00:00-05:00,2019-02-21,09:00,2019,02,21,streetscape,2019-02-21-09:00,3.4,-3.1,62.0
pedestrian,82.0,SWLSANDBOX1,2019-02-21T10:00:00-05:00,2019-02-21,10:00,2019,02,21,streetscape,2019-02-21-10:00,3.5,-3.4,61.0
pedestrian,26.0,SWLSANDBOX1,2019-02-21T11:00:00-05:00,2019-02-21,11:00,2019,02,21,streetscape,2019-02-21-11:00,3.6,-4.2,57.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T12:00:00-05:00,2019-02-21,12:00,2019,02,21,streetscape,2019-02-21-12:00,3.2,-4.2,58.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T13:00:00-05:00,2019-02-21,13:00,2019,02,21,streetscape,2019-02-21-13:00,3.3,-4.0,59.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T14:00:00-05:00,2019-02-21,14:00,2019,02,21,streetscape,2019-02-21-14:00,4.4,-5.7,48.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T15:00:00-05:00,2019-02-21,15:00,2019,02,21,streetscape,2019-02-21-15:00,3.6,-6.2,48.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T16:00:00-05:00,2019-02-21,16:00,2019,02,21,streetscape,2019-02-21-16:00,4.0,-5.9,48.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T17:00:00-05:00,2019-02-21,17:00,2019,02,21,streetscape,2019-02-21-17:00,3.1,-5.3,54.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T18:00:00-05:00,2019-02-21,18:00,2019,02,21,streetscape,2019-02-21-18:00,2.1,-6.3,54.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T19:00:00-05:00,2019-02-21,19:00,2019,02,21,streetscape,2019-02-21-19:00,1.6,-6.3,56.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T20:00:00-05:00,2019-02-21,20:00,2019,02,21,streetscape,2019-02-21-20:00,1.0,-6.0,59.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T21:00:00-05:00,2019-02-21,21:00,2019,02,21,streetscape,2019-02-21-21:00,0.7,-6.0,61.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T22:00:00-05:00,2019-02-21,22:00,2019,02,21,streetscape,2019-02-21-22:00,0.2,-6.0,63.0
pedestrian,0.0,SWLSANDBOX1,2019-02-21T23:00:00-05:00,2019-02-21,23:00,2019,02,21,streetscape,2019-02-21-23:00,-0.2,-5.8,66.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T00:00:00-05:00,2019-02-22,00:00,2019,02,22,streetscape,2019-02-22-00:00,-0.3,-5.7,67.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T01:00:00-05:00,2019-02-22,01:00,2019,02,22,streetscape,2019-02-22-01:00,-0.9,-5.7,70.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T02:00:00-05:00,2019-02-22,02:00,2019,02,22,streetscape,2019-02-22-02:00,-1.7,-5.9,73.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T03:00:00-05:00,2019-02-22,03:00,2019,02,22,streetscape,2019-02-22-03:00,-1.7,-5.6,74.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T04:00:00-05:00,2019-02-22,04:00,2019,02,22,streetscape,2019-02-22-04:00,-2.0,-5.6,76.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T05:00:00-05:00,2019-02-22,05:00,2019,02,22,streetscape,2019-02-22-05:00,-1.6,-5.5,75.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T06:00:00-05:00,2019-02-22,06:00,2019,02,22,streetscape,2019-02-22-06:00,-1.1,-5.2,74.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T07:00:00-05:00,2019-02-22,07:00,2019,02,22,streetscape,2019-02-22-07:00,-0.8,-5.1,73.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T08:00:00-05:00,2019-02-22,08:00,2019,02,22,streetscape,2019-02-22-08:00,-0.7,-5.4,71.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T09:00:00-05:00,2019-02-22,09:00,2019,02,22,streetscape,2019-02-22-09:00,-0.2,-5.2,69.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T10:00:00-05:00,2019-02-22,10:00,2019,02,22,streetscape,2019-02-22-10:00,0.9,-5.1,64.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T11:00:00-05:00,2019-02-22,11:00,2019,02,22,streetscape,2019-02-22-11:00,2.5,-6.7,51.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T12:00:00-05:00,2019-02-22,12:00,2019,02,22,streetscape,2019-02-22-12:00,2.2,-7.8,47.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T13:00:00-05:00,2019-02-22,13:00,2019,02,22,streetscape,2019-02-22-13:00,2.5,-7.1,49.0
pedestrian,0.0,SWLSANDBOX1,2019-02-22T14:00:00-05:00,2019-02-22,14:00,2019,02,22,streetscape,2019-02-22-14:00,2.5,-5.9,54.0
