,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
0,pedestrian,3272.0,SWLSANDBOX1,2019-02-20T00:00:00-05:00,2019-02-20,2019,02,20,streetscape
1,pedestrian,158.0,SWLSANDBOX1,2019-02-21T00:00:00-05:00,2019-02-21,2019,02,21,streetscape
2,pedestrian,83.0,SWLSANDBOX1,2019-02-22T00:00:00-05:00,2019-02-22,2019,02,22,streetscape
3,pedestrian,8.0,SWLSANDBOX1,2019-02-23T00:00:00-05:00,2019-02-23,2019,02,23,streetscape
4,pedestrian,6.0,SWLSANDBOX1,2019-02-24T00:00:00-05:00,2019-02-24,2019,02,24,streetscape
5,pedestrian,834.0,SWLSANDBOX1,2019-02-25T00:00:00-05:00,2019-02-25,2019,02,25,streetscape
6,pedestrian,493.0,SWLSANDBOX1,2019-02-26T00:00:00-05:00,2019-02-26,2019,02,26,streetscape
7,pedestrian,0.0,SWLSANDBOX1,2019-02-27T00:00:00-05:00,2019-02-27,2019,02,27,streetscape
8,pedestrian,86.0,SWLSANDBOX1,2019-02-28T00:00:00-05:00,2019-02-28,2019,02,28,streetscape
9,pedestrian,1562.0,SWLSANDBOX1,2019-03-01T00:00:00-05:00,2019-03-01,2019,03,01,streetscape
10,pedestrian,5611.0,SWLSANDBOX1,2019-03-02T00:00:00-05:00,2019-03-02,2019,03,02,streetscape
11,pedestrian,321.0,SWLSANDBOX1,2019-03-03T00:00:00-05:00,2019-03-03,2019,03,03,streetscape
12,pedestrian,0.0,SWLSANDBOX1,2019-03-04T00:00:00-05:00,2019-03-04,2019,03,04,streetscape
13,pedestrian,0.0,SWLSANDBOX1,2019-03-05T00:00:00-05:00,2019-03-05,2019,03,05,streetscape
14,pedestrian,0.0,SWLSANDBOX1,2019-03-06T00:00:00-05:00,2019-03-06,2019,03,06,streetscape
15,pedestrian,0.0,SWLSANDBOX1,2019-03-07T00:00:00-05:00,2019-03-07,2019,03,07,streetscape
16,pedestrian,0.0,SWLSANDBOX1,2019-03-08T00:00:00-05:00,2019-03-08,2019,03,08,streetscape
17,pedestrian,0.0,SWLSANDBOX1,2019-03-09T00:00:00-05:00,2019-03-09,2019,03,09,streetscape
18,pedestrian,0.0,SWLSANDBOX1,2019-03-10T00:00:00-05:00,2019-03-10,2019,03,10,streetscape
19,pedestrian,17.0,SWLSANDBOX1,2019-03-11T00:00:00-05:00,2019-03-11,2019,03,11,streetscape
20,pedestrian,0.0,SWLSANDBOX1,2019-03-12T00:00:00-05:00,2019-03-12,2019,03,12,streetscape
21,pedestrian,0.0,SWLSANDBOX1,2019-03-13T00:00:00-05:00,2019-03-13,2019,03,13,streetscape
22,pedestrian,0.0,SWLSANDBOX1,2019-03-14T00:00:00-05:00,2019-03-14,2019,03,14,streetscape
23,pedestrian,0.0,SWLSANDBOX1,2019-03-15T00:00:00-05:00,2019-03-15,2019,03,15,streetscape
24,pedestrian,0.0,SWLSANDBOX1,2019-03-16T00:00:00-05:00,2019-03-16,2019,03,16,streetscape
25,pedestrian,0.0,SWLSANDBOX1,2019-03-17T00:00:00-05:00,2019-03-17,2019,03,17,streetscape
26,pedestrian,0.0,SWLSANDBOX1,2019-03-18T00:00:00-05:00,2019-03-18,2019,03,18,streetscape
27,pedestrian,0.0,SWLSANDBOX1,2019-03-19T00:00:00-05:00,2019-03-19,2019,03,19,streetscape
28,pedestrian,336.0,SWLSANDBOX1,2019-03-20T00:00:00-05:00,2019-03-20,2019,03,20,streetscape
29,pedestrian,1659.0,SWLSANDBOX1,2019-03-21T00:00:00-05:00,2019-03-21,2019,03,21,streetscape
