mean_dwell_time,node.pct100,node.pct25,node.pct50,node.pct75,node.serialno,node.time,date,year,month,day,location
15.26,1652.37,2.6,5.7,14.03,SWLSANDBOX1,2019-02-20T00:00:00-05:00,2019-02-20,2019,02,20,streetscape
6.4,86.34,2.56,4.18,7.32,SWLSANDBOX1,2019-02-21T00:00:00-05:00,2019-02-21,2019,02,21,streetscape
19.57,251.12,3.62,7.87,15.1,SWLSANDBOX1,2019-02-22T00:00:00-05:00,2019-02-22,2019,02,22,streetscape
4.69,15.59,2.09,3.66,6.8,SWLSANDBOX1,2019-02-23T00:00:00-05:00,2019-02-23,2019,02,23,streetscape
3.99,8.85,1.06,4.69,6.26,SWLSANDBOX1,2019-02-24T00:00:00-05:00,2019-02-24,2019,02,24,streetscape
11.7,383.33,2.61,5.7,12.47,SWLSANDBOX1,2019-02-25T00:00:00-05:00,2019-02-25,2019,02,25,streetscape
30.13,698.06,3.16,7.28,21.97,SWLSANDBOX1,2019-02-26T00:00:00-05:00,2019-02-26,2019,02,26,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-02-27T00:00:00-05:00,2019-02-27,2019,02,27,streetscape
10.58,107.31,2.62,4.65,10.35,SWLSANDBOX1,2019-02-28T00:00:00-05:00,2019-02-28,2019,02,28,streetscape
12.54,413.74,2.61,5.26,11.97,SWLSANDBOX1,2019-03-01T00:00:00-05:00,2019-03-01,2019,03,01,streetscape
25.09,1678.63,3.14,7.8,21.42,SWLSANDBOX1,2019-03-02T00:00:00-05:00,2019-03-02,2019,03,02,streetscape
23.18,311.97,2.65,7.35,21.28,SWLSANDBOX1,2019-03-03T00:00:00-05:00,2019-03-03,2019,03,03,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-04T00:00:00-05:00,2019-03-04,2019,03,04,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-05T00:00:00-05:00,2019-03-05,2019,03,05,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-06T00:00:00-05:00,2019-03-06,2019,03,06,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-07T00:00:00-05:00,2019-03-07,2019,03,07,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-08T00:00:00-05:00,2019-03-08,2019,03,08,streetscape
0.0,0.0,0.0,0.0,0.0,SWLSANDBOX1,2019-03-09T00:00:00-05:00,2019-03-09,2019,03,09,streetscape
