Date,Mean_Temp,Total_Precip,Rain,Snow
2019-01-01,-1.4,0.6,0.6,0.0
2019-01-02,-4.9,3.6,0.0,3.6
2019-01-03,-1.0,0.2,0.0,0.2
2019-01-04,3.6,0.0,0.0,0.0
2019-01-05,1.2,0.0,0.0,0.0
2019-01-06,-1.7,0,0.0,0
2019-01-07,-1.4,2.8,2.8,0
2019-01-08,5.3,3.8,3.8,0.0
2019-01-09,-1.3,0,0.0,0
2019-01-10,-8.0,0,0.0,0
2019-01-11,-10.7,0.0,0.0,0.0
2019-01-12,-6.7,0,0.0,0
2019-01-13,-8.7,0.0,0.0,0.0
2019-01-14,-4.3,0.0,0.0,0.0
2019-01-15,-2.0,0,0.0,0
2019-01-16,-6.3,0.4,0.0,0.4
2019-01-17,-8.4,0.6,0.0,0.6
2019-01-18,-5.4,1.6,0.0,1.6
2019-01-19,-13.6,5.4,0.0,6.4
2019-01-20,-18.0,1.6,0.0,2.0
2019-01-21,-16.7,0.0,0.0,0.0
2019-01-22,-9.9,0.2,0.0,0.2
2019-01-23,2.5,10.8,7.2,3.0
2019-01-24,-0.4,0.6,0.4,0.2
2019-01-25,-7.6,0.8,0.0,1.2
2019-01-26,-10.5,0.4,0.0,0.4
2019-01-27,-11.1,9.6,0.0,10.0
2019-01-28,-12.7,19.6,0.0,26.4
2019-01-29,-8.8,4.8,0.0,7.0
2019-01-30,-19.0,0.2,0.0,0.2
2019-01-31,-18.6,0.0,0.0,0.0
2019-02-01,-14.6,0.0,0.0,0.0
2019-02-02,-6.9,0.4,0.4,0
2019-02-03,3.9,0.2,0.2,0.0
2019-02-04,9.2,2.2,2.2,0.0
2019-02-05,1.3,0,0,0.0
2019-02-06,-3.9,16.8,14.8,2.0
2019-02-07,0.2,0.6,0.6,0.0
2019-02-08,-2.2,0.4,0.0,0.4
2019-02-09,-7.0,0,0.0,0
2019-02-10,-6.5,0.4,0.0,0.8
2019-02-11,-5.2,0.8,0.0,0.8
2019-02-12,-3.6,18.2,8.0,7.4
2019-02-13,-2.2,5.0,0.0,6.0
2019-02-14,-2.0,0.2,0.2,0
2019-02-15,-0.5,1.4,1.4,0
2019-02-16,-5.3,0.2,0.0,0.2
2019-02-17,-8.5,0.2,0.0,0.2
2019-02-18,-10.1,2.4,0.0,4.5
2019-02-19,-9.9,0,0.0,0
2019-02-20,-5.9,1.2,1.0,0
2019-02-21,-0.1,0,0.0,0
2019-02-22,-1.7,0.0,0.0,0.0
2019-02-23,-1.6,0,0,0.0
2019-02-24,1.9,6.8,6.2,0.6
2019-02-25,-5.6,1.0,0.0,1.8
2019-02-26,-8.2,0,0.0,0
2019-02-27,-10.6,17.6,0.0,18.4
2019-02-28,-12.1,0.0,0.0,0.0
2019-03-01,-7.0,0.0,0.0,0.0
2019-03-02,-3.6,4.4,0.0,4.0
2019-03-03,-5.6,0.4,0.0,0.4
2019-03-04,-11.0,0,0.0,0
2019-03-05,-12.0,0,0.0,0
2019-03-06,-12.0,0,0.0,0
2019-03-07,-10.0,0,0.0,0
2019-03-08,-8.1,0.0,0.0,0.0
2019-03-09,-5.4,0.8,0.8,0.0
2019-03-10,3.0,12.2,12.2,0
2019-03-11,0.0,0,0.0,0
2019-03-12,0.1,0,0.0,0
2019-03-13,0.7,0.4,0.4,0.0
2019-03-14,5.2,9.0,9.0,0.0
2019-03-15,4.9,0,0.0,0
2019-03-16,-1.5,0,0.0,0
2019-03-17,-2.2,0,0.0,0
2019-03-18,-0.3,0,0.0,0
2019-03-19,0.9,0.6,0.0,0.6
2019-03-20,4.6,0,0,0.0
2019-03-21,5.4,1.2,1.2,0.0
2019-03-22,-0.4,0,0.0,0
2019-03-23,-0.9,0.0,0.0,0.0
2019-03-24,3.6,0.0,0.0,0.0
2019-03-25,-0.6,0.0,0.0,0.0
2019-03-26,0.2,0.0,0.0,0.0
2019-03-27,1.9,0.0,0.0,0.0
2019-03-28,5.3,0.4,0.4,0.0
2019-03-29,7.5,0.0,0.0,0.0
2019-03-30,2.3,33.4,30.2,2.0
2019-03-31,-0.9,1.0,0.0,1.2
2019-04-01,-1.1,0.0,0.0,0.0
2019-04-02,4.7,0.0,0.0,0.0
2019-04-03,3.5,0.4,0.2,0.2
2019-04-04,1.8,0.0,0.0,0.0
2019-04-05,2.0,0,0,0.0
2019-04-06,8.8,0.0,0.0,0.0
2019-04-07,9.5,4.0,4.0,0.0
2019-04-08,10.1,0,0,0.0
2019-04-09,6.4,0,0,0.0
2019-04-10,4.1,0.0,0.0,0.0
2019-04-11,1.6,0.8,0.0,0
2019-04-12,9.0,1.8,1.8,0.0
2019-04-13,9.7,0.0,0.0,0.0
2019-04-14,2.8,27.8,27.8,0.0
2019-04-15,4.9,1.2,1.2,0
2019-04-16,3.4,0.4,0.4,0.0
2019-04-17,7.4,0.6,0.6,0.0
2019-04-18,13.9,1.8,1.8,0.0
2019-04-19,8.9,18.6,18.6,0.0
2019-04-20,6.7,13.0,13.0,0.0
2019-04-21,9.4,0.0,0.0,0.0
2019-04-22,10.7,0.0,0.0,0.0
2019-04-23,10.4,2.2,2.2,0.0
2019-04-24,8.7,0.0,0.0,0.0
2019-04-25,7.6,0.8,0.8,0.0
2019-04-26,8.1,18.0,18.0,0.0
2019-04-27,4.5,0.0,0.0,0.0
